"Code Number","Reference Interval","Reference Number"
"1","1-6","6"
"2","7-60","54"
"3","61","1"
"4","62-64","3"
"5","65-66","2"
"6","67-70","4"
"7","71","1"
"8","72","1"
"9","73-79","7"
"10","80","1"
"11","81-84","4"
"12","85","1"
"13","86","1"
"14","87","1"
"15","88-92","5"
"16","93","1"
"17","94","1"
"18","95","1"
"19","96-98","3"
"20","99","1"
"21","100","1"
"22","101","1"
"23","102-104","3"
"24","105-114","10"
"25","115-134","20"
"26","135","1"
"27","136","1"
"28","137","1"
"29","138","1"
"30","139-144","6"
"31","145","1"
"32","146","1"
"33","147","1"
"34","148-150","3"
"35","151-153","3"
"36","154-157","4"
"37","158-174","17"
"38","175","1"
"39","176","1"
"40","177","1"
"41","178-181","4"
"42","182-184","3"
"43","185","1"
"44","186-187","2"
"45","188","1"
"46","189","1"
"47","190","1"
"48","191-200","10"
"49","201","1"
"50","202-206","5"
"51","207-208","2"
"52","209","1"
"53","210","1"
"54","211-216","6"
"55","217","1"
"56","218","1"
"57","219-231","13"
"58","232-234","3"
"59","235","1"
"60","236","1"
"61","237-242","6"
"62","243","1"
"63","244-264","21"
"64","265-267","3"
"65","268-269","2"
"66","270-273","4"
"67","274-275","2"
"68","276-279","4"
"69","280","1"
"70","281-292","12"
"71","293-312","20"
"72","313-326","14"
"73","327-342","16"
"74","343-348","6"
"75","349-354","6"
"76","355-361","7"
"77","362","1"
"78","363-367","5"
"79","368-376","9"
"80","377-378","2"
"81","379-381","3"
"82","382","1"
"83","383-384","2"
"84","385-386","2"
"85","387-440","54"
"86","441-449","9"
"87","450-453","4"
"88","454-460","7"
"89","461-463","3"
"90","464","1"
"91","465","1"
"92","466-469","4"
"93","470-481","12"
"94","482-491","10"
"95","492","1"
"96","493","1"
"97","494-499","6"
"98","500-513","14"
"99","514-515","2"
"100","516","1"
"101","517","1"
"102","518","1"
"103","519","1"
"104","520-521","2"
"105","522","1"
"106","523","1"
"107","524","1"
"108","525","1"
"109","526-528","3"
"110","529-530","2"
"111","531","1"
"112","532-543","12"
"113","544","1"
"114","545","1"
"115","546","1"
"116","547-550","4"
"117","551-552","2"
"118","553","1"
"119","554-558","5"
"120","559-561","3"
"121","562-571","10"
"122","572-581","10"
"123","582-583","2"
"124","584","1"
"125","585-591","7"
"126","592-593","2"
"127","594","1"
"128","595","1"
"129","596-601","6"
"130","602-603","2"
"131","604-605","2"
"132","606-610","5"
"133","611-612","2"
"134","613","1"
"135","614","1"
"136","615-622","8"
"137","623-625","3"
"138","626-634","9"
"139","635","1"
"140","636","1"
"141","637-638","2"
"142","639-651","13"
"143","652-686","35"
"144","687-695","9"
"145","696-750","55"
"146","751-760","10"
"147","761-770","10"
"148","771-774","4"
"149","775","1"
"150","776","1"
"151","777","1"
"152","778","1"
"153","779","1"
"154","780-781","2"
"155","782","1"
"156","783-784","2"
"157","785-787","3"
"158","788","1"
"159","789","1"
"160","790-797","8"
"161","798-799","2"
"162","800-904","105"
"163","905-943","39"
"164","944","1"
"165","945","1"
"166","946-948","3"
"167","949-950","2"
"168","951","1"
"169","952","1"
"170","953-955","3"
"171","956-958","3"
"172","959-962","4"
"173","963","1"
"174","964-968","5"
"175","969-972","4"
"176","973","1"
"177","974","1"
"178","975-986","12"
"179","987","1"
"180","988","1"
"181","989","1"
"182","990","1"
"183","991","1"
"184","992-994","3"
"185","995-1002","8"
"186","1003-1007","5"
"187","1008-1026","19"
"188","1027-1029","3"
"189","1030","1"
"190","1031","1"
"191","1032","1"
"192","1033-1037","5"
"193","1038-1039","2"
"194","1040-1042","3"
"195","1043-1047","5"
"196","1048-1049","2"
"197","1050-1051","2"
"198","1052-1061","10"
"199","1062","1"
"200","1063-1070","8"
"201","1071","1"
"202","1072-1087","16"
"203","1088","1"
"204","1089-1098","10"
"205","1099-1100","2"
"206","1101-1102","2"
"207","1103-1105","3"
"208","1106","1"
"209","1107","1"
"210","1108-1122","15"
"211","1123","1"
"212","1124","1"
"213","1125-1127","3"
"214","1128-1134","7"
"215","1135-1140","6"
"216","1141","1"
"217","1142","1"
"218","1143","1"
"219","1144-1157","14"
"220","1158-1161","4"
"221","1162-1163","2"
"222","1164-1165","2"
"223","1166-1188","23"
"224","1189","1"
"225","1190","1"
"226","1191-1210","20"
"227","1211-1215","5"
"228","1216","1"
"229","1217-1218","2"
"230","1219","1"
"231","1220","1"
"232","1221-1229","9"
"233","1230","1"
"234","1231-1236","6"
"235","1237-1242","6"
"236","1243-1245","3"
"237","1246","1"
"238","1247-1248","2"
"239","1249","1"
"240","1250-1253","4"
"241","1254-1256","3"
"242","1257","1"
"243","1258","1"
"244","1259m","1"
"245","1260","1"
"246","1261-1282","22"
"247","1283-1300","18"
"248","1301-1305","5"
"249","1306-1308","3"
"250","1309-1319","11"
"251","1320","1"
"252","1321-1337","17"
"253","1338","1"
"254","1339-1352","14"
"255","1353","1"
"256","1354","1"
"257","1355-1450","96"
"258","1451","1"
"259","1452","1"
"260","1453","1"
"261","1454-1465","12"
